archiveID,url,verdict,detail
Beverly_Hillbillies_Ep47_The_Garden_Party,https://archivewatch.org/subs/Beverly_Hillbillies_Ep47_The_Garden_Party/en.vtt,ok,362 cues
the-persuaders-1971-episode-1-of-24-overture-roger-moore-tony-curtis-full-episode-hd,https://archivewatch.org/subs/the-persuaders-1971-episode-1-of-24-overture-roger-moore-tony-curtis-full-episode-hd/en.vtt,ok,651 cues
jsc2017m001151_Space_Debris_Sensor,https://archivewatch.org/subs/jsc2017m001151_Space_Debris_Sensor/en.vtt,short,1 cues
condooooooooolman24,https://archivewatch.org/subs/condooooooooolman24/en.vtt,ok,174 cues
gilda-1946_202106,https://archivewatch.org/subs/gilda-1946_202106/en.vtt,ok,1277 cues
pot_o_gold,https://archivewatch.org/subs/pot_o_gold/en.vtt,ok,1023 cues
the-curse-of-the-mummys-tomb,https://archivewatch.org/subs/the-curse-of-the-mummys-tomb/en.vtt,ok,960 cues
thb445465887188,https://archivewatch.org/subs/thb445465887188/en.vtt,ok,1966 cues
citythatneversleeps1953usafeaturinggigyoungwilliamtalmanfilmnoirfullmovie,https://archivewatch.org/subs/citythatneversleeps1953usafeaturinggigyoungwilliamtalmanfilmnoirfullmovie/en.vtt,ok,1193 cues
1941-Venus-vor-Gericht,https://archivewatch.org/subs/1941-Venus-vor-Gericht/en.vtt,repetitive,13% unique lines
TheFleshandtheFiends1960,https://archivewatch.org/subs/TheFleshandtheFiends1960/en.vtt,ok,1375 cues
1952-affair-in-trinidad-la-dama-de-trinidad-vincent-sherman-vo,https://archivewatch.org/subs/1952-affair-in-trinidad-la-dama-de-trinidad-vincent-sherman-vo/en.vtt,ok,1567 cues
DEMENTIA_201508,https://archivewatch.org/subs/DEMENTIA_201508/en.vtt,ok,834 cues
the-frightened-lady-1940,https://archivewatch.org/subs/the-frightened-lady-1940/en.vtt,ok,1383 cues
fatal_glass_of_beer,https://archivewatch.org/subs/fatal_glass_of_beer/en.vtt,ok,214 cues
1951-the-house-on-telegraph-hill-la-casa-de-la-colina-robert-wise-ve,https://archivewatch.org/subs/1951-the-house-on-telegraph-hill-la-casa-de-la-colina-robert-wise-ve/en.vtt,ok,1104 cues
pickup-on-south-street-1953-restored-movie-720p-hd,https://archivewatch.org/subs/pickup-on-south-street-1953-restored-movie-720p-hd/en.vtt,ok,1002 cues
twentyOne-8july1957,https://archivewatch.org/subs/twentyOne-8july1957/en.vtt,ok,561 cues
scm-42286-dancewiththerhythmofexistence,https://archivewatch.org/subs/scm-42286-dancewiththerhythmofexistence/en.vtt,ok,201 cues
1950EpisodeOftheBusterKeatonShow,https://archivewatch.org/subs/1950EpisodeOftheBusterKeatonShow/en.vtt,ok,268 cues
tokkan-kozo-yasujiro-ozu-jap-1929,https://archivewatch.org/subs/tokkan-kozo-yasujiro-ozu-jap-1929/en.vtt,ok,28 cues
TLS_Viv_Visits_Lucy,https://archivewatch.org/subs/TLS_Viv_Visits_Lucy/en.vtt,repetitive,5% unique lines
TheSphinx1933,https://archivewatch.org/subs/TheSphinx1933/en.vtt,ok,850 cues
the-ladykillers_202105,https://archivewatch.org/subs/the-ladykillers_202105/en.vtt,ok,1096 cues
tbosm3543543177,https://archivewatch.org/subs/tbosm3543543177/en.vtt,ok,1768 cues
1952-dont-bother-to-knock-niebla-en-el-alma-roy-ward-baker-vose,https://archivewatch.org/subs/1952-dont-bother-to-knock-niebla-en-el-alma-roy-ward-baker-vose/en.vtt,ok,1220 cues
harakiri-1962_202510,https://archivewatch.org/subs/harakiri-1962_202510/en.vtt,ok,1190 cues
CountSchlockulasShockShowVolume12,https://archivewatch.org/subs/CountSchlockulasShockShowVolume12/en.vtt,ok,475 cues
invasion-u.-s.-a.-1952,https://archivewatch.org/subs/invasion-u.-s.-a.-1952/en.vtt,ok,1050 cues
sandokan-pirate-of-malaysia,https://archivewatch.org/subs/sandokan-pirate-of-malaysia/en.vtt,ok,625 cues
cyrano-4-k,https://archivewatch.org/subs/cyrano-4-k/en.vtt,ok,1956 cues
mad-hatter-columbia-screen-gems-1940,https://archivewatch.org/subs/mad-hatter-columbia-screen-gems-1940/en.vtt,ok,990 cues
hinc_movie,https://archivewatch.org/subs/hinc_movie/en.vtt,ok,287 cues
UniversalNewsreelVolume34Issue801-23-1961,https://archivewatch.org/subs/UniversalNewsreelVolume34Issue801-23-1961/en.vtt,ok,60 cues
1960-11-10_Kennedy_Elected,https://archivewatch.org/subs/1960-11-10_Kennedy_Elected/en.vtt,ok,70 cues
1960-08-04_march_of_events_in_congo_crisis,https://archivewatch.org/subs/1960-08-04_march_of_events_in_congo_crisis/en.vtt,ok,29 cues
1874PierreJulesCsarJanssenPassageDeVenus.webm.360p,https://archivewatch.org/subs/1874PierreJulesCsarJanssenPassageDeVenus.webm.360p/de.vtt,empty,no cue timestamps
4113-1-gloriana,https://archivewatch.org/subs/4113-1-gloriana/en.vtt,ok,20 cues
sahara-colorized,https://archivewatch.org/subs/sahara-colorized/en.vtt,ok,1094 cues
The47Ronin,https://archivewatch.org/subs/The47Ronin/en.vtt,ok,1788 cues
tobor-the-great-1954-colorized,https://archivewatch.org/subs/tobor-the-great-1954-colorized/en.vtt,ok,898 cues
the-rivers-edge-1957,https://archivewatch.org/subs/the-rivers-edge-1957/en.vtt,ok,1055 cues
ErniePyleStory,https://archivewatch.org/subs/ErniePyleStory/en.vtt,ok,1240 cues
1948thebigclockelrelojasesinojohnfarrow,https://archivewatch.org/subs/1948thebigclockelrelojasesinojohnfarrow/en.vtt,ok,1354 cues
the-enforcer-bogart,https://archivewatch.org/subs/the-enforcer-bogart/en.vtt,ok,3038 cues
here-comes-mr.-jordan-1941_202507,https://archivewatch.org/subs/here-comes-mr.-jordan-1941_202507/en.vtt,ok,1557 cues
woman-on-the-run-1950-vose,https://archivewatch.org/subs/woman-on-the-run-1950-vose/en.vtt,ok,1220 cues
ord-i-rattan-tid,https://archivewatch.org/subs/ord-i-rattan-tid/en.vtt,ok,1003 cues
CC711_dos_mac,https://archivewatch.org/subs/CC711_dos_mac/en.vtt,short,"5 cues, stops 1% in"
Christmas_201303,https://archivewatch.org/subs/Christmas_201303/en.vtt,ok,559 cues
1967_PD_Soapie,https://archivewatch.org/subs/1967_PD_Soapie/en.vtt,ok,475 cues
KheriMichelleTheHighwayman,https://archivewatch.org/subs/KheriMichelleTheHighwayman/en.vtt,ok,1567 cues
unknownWonderwowmanpilot,https://archivewatch.org/subs/unknownWonderwowmanpilot/en.vtt,ok,191 cues
the-canary-murder-case-1929_202502,https://archivewatch.org/subs/the-canary-murder-case-1929_202502/en.vtt,ok,1336 cues
1948-sorry-wrong-number-voces-de-muerte-anatole-litvak-vose,https://archivewatch.org/subs/1948-sorry-wrong-number-voces-de-muerte-anatole-litvak-vose/en.vtt,ok,1467 cues
SantaClausConquerstheMartians1964,https://archivewatch.org/subs/SantaClausConquerstheMartians1964/en.vtt,ok,1232 cues
Quicksand720p1950,https://archivewatch.org/subs/Quicksand720p1950/en.vtt,ok,1321 cues
bm86fgh443,https://archivewatch.org/subs/bm86fgh443/en.vtt,ok,1611 cues
1948nighthasathousandeyesmilojostienelanochejohnfarrow,https://archivewatch.org/subs/1948nighthasathousandeyesmilojostienelanochejohnfarrow/en.vtt,ok,1418 cues
sword-of-the-beast,https://archivewatch.org/subs/sword-of-the-beast/en.vtt,ok,734 cues
1949-the-man-on-the-eiffel-tower-burgess-meredith-vose,https://archivewatch.org/subs/1949-the-man-on-the-eiffel-tower-burgess-meredith-vose/en.vtt,ok,902 cues
